atom_id,mapped_field,law_article,runtime_law_name,catalog_law_name(evidence-corroborated),occurrences,runtime_evidence,classification
ae0a74ad-9452-5677-8080-37d603eb0645,has_crane,125,산업안전보건기준에 관한 규칙,건설기계 안전기준에 관한 규칙,43,건축주는 타워크레인이 설치되는 건축구조물이 타워크레인으로 인한 하중을 지탱할 수 있는 구조임을 확인할 수 있는 서류를 갖추어야 한다.,SEMANTIC_MISMATCH(law_name)
21d45eb4-29a7-50d1-9834-515e7705bac6,has_demolition,16,산업안전보건기준에 관한 규칙,어린이놀이시설 안전관리법,20,관리주체는 어린이놀이시설을 이용 금지ㆍ폐쇄ㆍ철거하는 경우,SEMANTIC_MISMATCH(law_name)
ce59b35c-84bf-55ba-b58e-0902fd50b713,has_water_tank,22,산업안전보건기준에 관한 규칙,수도법 시행규칙,13,대형건축물등의 소유자등은 저수조가 신축되었거나 1개월 이상 사용이 중단된 경우,SEMANTIC_MISMATCH(law_name)
fd6d8b7d-6988-5566-a145-58205ce2ac77,has_subcontractor,21,산업안전보건기준에 관한 규칙,소방시설공사업법,12,수급인은 하수급인에게 하도급과 관련하여 자재구입처의 지정 등 하수급인에게 불리하다고 인정되는 행위를 강요하여서는 아니 된다.,SEMANTIC_MISMATCH(law_name)
4a63de61-8d0d-58ca-8a89-7df22bde9c5b,has_subcontractor,22,산업안전보건기준에 관한 규칙,소방시설공사업법,12,수급인은 발주자로부터 도급받은 소방시설공사등에 대한 준공금(竣工金)을 받은 경우,SEMANTIC_MISMATCH(law_name)
8802a9d1-d12f-5e02-808d-f18a1ddf60f1,has_subcontractor,26,산업안전보건기준에 관한 규칙,정보통신공사업법,12,수급인은 하수급인에게 하도급공사의 시공과 관련하여 자재구입처의 지정 등 하수급인에게 불리하다고 인정되는 행위를 강요하여서는 아니 된다.,SEMANTIC_MISMATCH(law_name)
a4b8422b-fb0b-5984-996d-cc6d90920df4,has_subcontractor,31,산업안전보건기준에 관한 규칙,정보통신공사업법,12,수급인은 발주자로부터 도급받은 공사에 대한 준공금(竣工金)을 받은 경우,SEMANTIC_MISMATCH(law_name)
c5e81202-dcd3-5884-a70d-306ed0978ab1,has_subcontractor,35,산업안전보건기준에 관한 규칙,건설산업기본법,12,다음 각 호의 어느 하나에 해당하는 경우,SEMANTIC_MISMATCH(law_name)
e16a2391-a0df-5b6f-ab28-15d8bf5286b5,has_subcontractor,36,산업안전보건기준에 관한 규칙,건설산업기본법,12,도급을 한 후 설계변경 또는 경제 상황의 변동에 따라 발주자로부터 공사금액을 늘려 지급받은 경우,SEMANTIC_MISMATCH(law_name)
f7bb266f-d965-5675-ba2e-972ab1af5127,has_subcontractor,37,산업안전보건기준에 관한 규칙,건설산업기본법,12,이 경우,SEMANTIC_MISMATCH(law_name)
3c8a09fa-c9e7-5e64-b2d4-4d27be9b4091,has_subcontractor,38,산업안전보건기준에 관한 규칙,건설산업기본법,12,발주자 및 수급인은 수급인 또는 하수급인에게 도급계약을 체결한 공사의 시공과 관련하여 자재구입처의 지정 등으로,SEMANTIC_MISMATCH(law_name)
1d248a2e-cf88-5822-b51c-9075d72ca1cd,has_gas,12,산업안전보건기준에 관한 규칙,도시가스사업법,11,시공자는 가스공급시설 또는 가스사용시설의 설치공사나 변경공사를 하는 경우,SEMANTIC_MISMATCH(law_name)
a233cece-0af7-553d-a6c4-b8f51264e0f4,has_gas,15,산업안전보건기준에 관한 규칙,도시가스사업법 시행규칙,11,해당 도시가스사업자는 시공자로부터 통보받은 날부터 7일 이내에 검토결과를 그 시공자와,SEMANTIC_MISMATCH(law_name)
5e4057a7-12e1-59f8-9911-afc73696e1b0,has_gas,17,산업안전보건기준에 관한 규칙,도시가스사업법,11,도시가스사업자와 특정가스사용시설의 사용자는 정기 또는 수시로 검사,SEMANTIC_MISMATCH(law_name)
cacdac8d-39b8-5290-9d32-6b17e607e73b,has_gas,20,산업안전보건기준에 관한 규칙,도시가스사업법 시행규칙,11,도시가스사업자와 특정가스사용시설의 사용자는 완공도면 사본,SEMANTIC_MISMATCH(law_name)
1ba2c57e-8685-524d-983f-9a1293afda8d,has_gas,30,산업안전보건기준에 관한 규칙,도시가스사업법,11,도시가스사업자 시공자 및 특정가스사용시설의 사용자는 그가 고용하고,SEMANTIC_MISMATCH(law_name)
9c66dac6-43fc-5c76-8f55-8e508b444c22,has_gas,41,산업안전보건기준에 관한 규칙,도시가스사업법,11,도시가스사업자는 다음 각 호의 어느 하나의 사고가 발생하면 산업통상부령으로 정하는 바에,SEMANTIC_MISMATCH(law_name)
e843bdd4-1c07-5bc1-9a85-e3f92b7c5c16,has_chemical,31,산업안전보건기준에 관한 규칙,화학물질관리법,11,도급인은 기후에너지환경부령으로 정한 능력과 기준을 갖춘 자에게만 해당 유해화학물질의 취급을 도급하여야 한다.,SEMANTIC_MISMATCH(law_name)
a0098d92-a822-56f5-91e1-6be333979e2a,has_chemical,44,산업안전보건기준에 관한 규칙,화학물질관리법,11,기후에너지환경부장관이 그 가동중지명령을 해제할 때,SEMANTIC_MISMATCH(law_name)
dd5c7383-3d01-5565-8ef8-32e1d94cb350,has_excavation,30,산업안전보건기준에 관한 규칙,도시가스사업법,10,굴착공사자는 정보지원센터로부터 굴착공사 개시통보를 받기 전에 굴착공사를 하여서는 아니 된다.,SEMANTIC_MISMATCH(law_name)
d7be3706-e0a3-56c6-8664-285169cf342d,has_excavation,38,산업안전보건기준에 관한 규칙,산업안전보건법,10,그 밖의 작업을 할 때,SEMANTIC_MISMATCH(law_name)
f13a858e-0414-51a8-8aac-f0cf6892c551,has_excavation,41,산업안전보건기준에 관한 규칙,건축법,10,공사시공자는 대지를 조성하거나 건축공사를 하기 위하여 토지를 굴착ㆍ절토ㆍ매립 또는 성토 등을 하는 경우,SEMANTIC_MISMATCH(law_name)
886a5841-9a6d-5805-aa00-bfb648df0464,has_asbestos,22,산업안전보건기준에 관한 규칙,석면안전관리법,11,석면건축물의 소유자는 대통령령으로 정하는 석면건축물 관리기준을 지켜야 하며,SEMANTIC_MISMATCH(law_name)
