law_id,law_name,sectors,mapping_method,article_no,article_title,txt
8851a3f3-f4a8-4653-8ca2-b1a7c52ca209,간이스프링클러설비의 화재안전성능기준(NFPC 103A),{BUILDING},manual_verified,1,목적,"제1조(목적) 이 기준은 「소방시설 설치 및 관리에 관한 법률」(이하 ""법""이라 한다) 제2조제1항제6호가목에 따라 소방청장에게 위임한 사항 중 소화설비인 간이스프링클러설비의 성능기준을 규정함을 목적으로 한다."
8851a3f3-f4a8-4653-8ca2-b1a7c52ca209,간이스프링클러설비의 화재안전성능기준(NFPC 103A),{BUILDING},manual_verified,1,전문,"제1조(목적) 이 기준은 「소방시설 설치 및 관리에 관한 법률」(이하 ""법""이라 한다) 제2조제1항제6호가목에 따라 소방청장에게 위임한 사항 중 소화설비인 간이스프링클러설비의 성능기준을 규정함을 목적으로 한다."
8851a3f3-f4a8-4653-8ca2-b1a7c52ca209,간이스프링클러설비의 화재안전성능기준(NFPC 103A),{BUILDING},manual_verified,2,적용범위,"제2조(적용범위) 이 기준은 「소방시설 설치 및 관리에 관한 법률 시행령」(이하 ""영""이라 한다) 별표 4 제1호마목에 따른 간이스프링클러설비 및 「다중이용업소의 안전관리에 관한 특별법」(이하 ""특별법""이라 한다) 제9조제1항 및 같은 법 시행령(이하 ""특별법령""이라 한다) 제9조에 따른 간이스프링클러설비의 설치 및 관리에 대해 적용한다."
8851a3f3-f4a8-4653-8ca2-b1a7c52ca209,간이스프링클러설비의 화재안전성능기준(NFPC 103A),{BUILDING},manual_verified,3,정의,"제3조(정의) 이 기준에서 사용하는 용어의 정의는 다음과 같다. 1. ""간이헤드""란 폐쇄형스프링클러헤드의 일종으로 간이스프링클러설비를 설치해야 하는 특정소방대상물의 화재에 적합한 감도ㆍ방수량 및 살수분포를 갖는 헤드를 말한다. 2. ""충압펌프""란 배관 내 압력손실에 따른 주펌프의 빈번한 기동을 방지하기 위하여 충압역할을 하는 펌프를 말한다. 3. ""고가수조"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,{CONSTRUCTION},auto_regex,1,목적,제1조(목적) 이 규칙은 「건설기계관리법」 제12조에 따라 건설기계의 안전한 운행 또는 사용에 지장이 없도록 건설기계의 구조ㆍ규격 및 성능 등에 관한 기준을 정함을 목적으로 한다.
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,{CONSTRUCTION},auto_regex,1,,제1장 총칙
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,{CONSTRUCTION},auto_regex,2,정의,"제2조(정의) 이 규칙에서 사용하는 용어의 뜻은 다음과 같다. <개정 2009.10.21, 2013.5.27, 2018.6.1, 2020.7.31, 2021.8.27> [1.] 1. ""중심선""이란 타이어식 건설기계에서는 가장 앞의 차축의 중심점과 가장 뒤의 차축의 중심점을 통과하는 직선을, 무한궤도식에서는 양쪽 무한궤도 사이의 중심점을 지나는 지면에 평행한"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,{CONSTRUCTION},auto_regex,3,무한궤도식 건설기계의 접지압,"제3조(무한궤도식 건설기계의 접지압) [①] ①무한궤도식 건설기계의 접지압은 다음 산식에 의하여 계산한다 <img src=""http://www.law.go.kr/flDownload.do?flSeq=34720670"" alt=""img34720670"" > ┌──────────────────────────────┐ │ 접지압 = 운전중량(킬로그램) │ │ ────"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,{CONSTRUCTION},auto_regex,5,적용범위,"제5조(적용범위) [①] ① 이 규칙은 건설기계에 적용하고, 건설기계의 구조ㆍ규격 및 성능 등에 관하여 이 규칙에서 정하지 아니한 것은 「산업표준화법」제12조에 따른 한국산업표준(이하 ""한국산업표준""이라 한다)이 정하는 바에 따른다. <개정 2009.10.21> [②] ② 제1항에도 불구하고 특수한 용도로 제작되거나 특수한 장소에서 효율적으로 성능이 발휘되"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,{CONSTRUCTION},auto_regex,156,전조등,"제156조(전조등) [①] ① 전조등은 다음 각 호의 기준에 적합하여야 한다. 다만, 토공건설기계 및 제1축에 조향장치가 설치되지 않은 건설기계는 제외한다. <개정 2013.5.27> [1.] 1. 좌우에 각각 1개(4등식의 경우에는 2개를 1개로 본다)씩 설치하여야 한다. [2.] 2. 등광색은 백색으로 할 것 [3.] 3. 한등당 광도(최대광도점의 광도"
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,1,,제1장 총칙 <개정 2009.12.29>
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,1,목적,제1조(목적) 이 법은 건설기계의 등록ㆍ검사ㆍ형식승인 및 건설기계사업과 건설기계조종사면허 등에 관한 사항을 정하여 건설기계를 효율적으로 관리하고 건설기계의 안전도를 확보하여 건설공사의 기계화를 촉진함을 목적으로 한다.
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,2,정의 등,"제2조(정의 등) [①] ① 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2013.3.23, 2017.1.17> [1.] 1. ""건설기계""란 건설공사에 사용할 수 있는 기계로서 대통령령으로 정하는 것을 말한다. [2.] 2. ""폐기""란 국토교통부령으로 정하는 건설기계 장치를 그 성능을 유지할 수 없도록 해체하거나 압축ㆍ파쇄ㆍ절단 또는 용해(鎔解)하"
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,3,,제2장 건설기계의 등록 <개정 2009.12.29>
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,3,등록 등,"제3조(등록 등) [①] ① 건설기계의 소유자는 대통령령으로 정하는 바에 따라 건설기계를 등록하여야 한다. [②] ② 건설기계의 소유자가 제1항에 따른 등록을 할 때에는 특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사 또는 특별자치도지사(이하 ""시ㆍ도지사""라 한다)에게 건설기계 등록신청을 하여야 한다. <개정 2022.2.3> [③] ③ 시ㆍ도지사는 제2항에 따른 건"
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,3,건설기계수급조절위원회의 설치 등,"제3조의3(건설기계수급조절위원회의 설치 등) [①] ①건설기계의 수급조절에 관한 사항을 심의하기 위하여 국토교통부에 건설기계수급조절위원회(이하 ""수급조절위원회""라 한다)를 둔다. <개정 2008.2.29, 2013.3.23> [②] ②수급조절위원회는 위원장 1인을 포함한 15인 이내의 위원으로 구성한다. [③] ③수급조절위원회의 위원장은 국토교통부차관이 되"
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,3,건설기계의 수급조절,"제3조의2(건설기계의 수급조절) [①] ① 국토교통부장관은 제3조에도 불구하고 건설기계의 수급조절(需給調節)을 위하여 필요한 경우 다음 각 호의 사항을 반영한 건설기계 수급계획을 마련하여 제3조의3에 따른 건설기계수급조절위원회의 심의를 거친 후 사업용 건설기계의 등록을 2년 이내의 범위에서 일정 기간 제한할 수 있다. 다만, 필요한 경우 동일한 절차를 거쳐"
0236f221-9292-414d-a583-04d099b78911,건설기계관리법,{CONSTRUCTION},auto_regex,38,벌칙 적용에서 공무원 의제,제38조의2(벌칙 적용에서 공무원 의제) 제38조제2항에 따라 위탁받은 법인 또는 단체에서 그 업무에 종사하는 임직원은 「형법」 제129조부터 제132조까지의 규정에 따른 벌칙을 적용할 때에는 공무원으로 본다.
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,1,목적,제1조(목적) 이 규칙은 「건설기계관리법」 및 같은 법 시행령에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다. <개정 2007.8.17>
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,1,,제1장 총칙
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,1,건설기계정비업의 범위에서 제외되는 행위,"제1조의3(건설기계정비업의 범위에서 제외되는 행위) 법 제2조제1항제5호에서 ""경미한 정비행위 등 국토교통부령으로 정하는 것""이란 다음 각 호의 행위를 말한다. <개정 2007.8.17, 2008.3.14, 2010.7.20, 2013.3.23, 2023.7.19> [1.] 1. 오일의 보충 [2.] 2. 에어클리너엘리먼트 및 휠터류의 교환 [3.] 3. "
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,1,건설기계의 폐기,"제1조의2(건설기계의 폐기) 「건설기계관리법」(이하 ""법""이라 한다) 제2조제1항제2호에서 ""국토교통부령으로 정하는 건설기계 장치""란 제32조제1항 각 호에 해당하는 건설기계 및 타워크레인의 장치 중 다음 각 호의 장치를 말한다. <개정 2008.3.14, 2010.7.20, 2013.3.23, 2018.1.18, 2019.3.19, 2021.8.27, 2"
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,2,건설기계의 등록등,"제2조(건설기계의 등록등) [①] ①「건설기계관리법 시행령」(이하 ""영""이라 한다) 제3조제1항에 따른 건설기계등록신청서는 별지 제1호서식과 같고, 법 제3조제3항의 규정에 의한 건설기계등록증은 별지 제2호서식 또는 별지 제2호의2서식(타워크레인의 경우에 한정한다)과 같다. <개정 2007.8.17, 2010.7.20> [②] ②특별시장ㆍ광역시장ㆍ특별자치시"
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,2,,제2장 건설기계의 등록
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,3,건설기계제원표,"제3조(건설기계제원표) 영 제3조제1항제3호의 규정에 의한 건설기계제원표는 별지 제3호서식, 별지 제3호의2서식 또는 별지 제3호의3서식과 같다. <개정 2010.7.20>"
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,15,등록번호표제작자 지정의 신청,"제15조(등록번호표제작자 지정의 신청) [①] ①법 제8조의2제1항의 규정에 의하여 등록번호표의 제작과 등록번호의 새김(이하 ""등록번호표제작등""이라 한다)을 업으로 하고자 하는 자는 별지 제17호서식의 지정신청서에 제2항의 규정에 의한 시설의 소유권 또는 사용권이 있음을 증명하는 서류를 첨부하여 그 사업장소재지를 관할하는 시ㆍ도지사에게 제출하여야 한다. <"
ff85bcfa-b695-4831-9483-52fe9cf034f0,건설기계관리법 시행규칙,{CONSTRUCTION},auto_regex,42,해체금지대상 건설기계장치,"제42조의2(해체금지대상 건설기계장치) [①] ① 법 제17조의2 각 호 외의 부분 본문에서 ""국토교통부령으로 정하는 장치""란 영 제10조의2제2항제1호부터 제10호까지의 장치와 건설기계 과부하방지장치를 말한다. <개정 2020.3.3, 2020.7.1> [②] ② 법 제17조의2제3호 중 ""국토교통부령으로 정하는 사유""란 다음 각 호의 어느 하나에 해당하"
