source,accessible,checked,finding
shell_history_bash_zsh_python,NO,yes,"sandbox files ABSENT; operator local machine resource"
cursor_history,NO,yes,"~/.cursor ~/.config/Cursor ABSENT in sandbox"
terminal_history,NO,yes,"not accessible from sandbox"
uploads/run_log.json,YES,yes,"WO-E2E-RUNNER-001 (2026-07-30) diagnosis-result snapshots; unrelated to 337"
git_commits_tai-api_2026-07-20,YES,yes,"0 commits on 07-20; gap 07-16->07-30"
git_commits_tai-api_semrepo_337_builder,YES,yes,"none found in Jun-Jul"
git_tags_releases_RC1_337,YES,yes,"none tied to 337 found"
builder_repo_law,YES,yes,"empty repo (size 0)"
builder_repo_45cm-runtime,YES,yes,"near-empty (size 1)"
tai-api_scripts_law_pipeline,YES,yes,"law_db_insert/finalize_law_pipeline/run_* exist; none evidence-linked to 337 or 07-20 load"
tai-api_codesearch_production_semantic_repository,YES,yes,"3 docs = runtime read-path VERIFY/REPORT, not 337 build"
doc_LEG_Immutable_Data_Copy_Report,YES,yes,"07-04 source law 26 tables via fdw+migration; not 337"
doc_LEG_Immutable_Asset_Copy_Specification,YES,yes,"source law asset copy spec; not 337"
doc_build_report_for_337_SEMREPO,YES,yes,"NOT FOUND (no doc records 337 build execution)"
